NO,PTN,KODE PRODI,NAMA PRODI,RATAAN,S.BAKU,MIN,MAX
319,UNIVERSITAS NEGERI MALANG,3731211,TEKNIK INFORMATIKA,617.85,10.6,602.45,640.96
320,UNIVERSITAS SEBELAS MARET,3531046,AGRIBISNIS,615.65,10.52,602.22,647.1
321,UNIVERSITAS NEGERI YOGYAKARTA,3621045,PENDIDIKAN BIOLOGI,623.34,21.82,602.2,708.4
322,UNIVERSITAS JENDERAL SOEDIRMAN,3511026,KIMIA,612.73,8.69,602.09,637.06
323,INSTITUT PERTANIAN BOGOR,3411137,KOMUNIKASI DAN PENGEMBANGAN MASYARAKAT,620.53,14.45,601.92,660.62
324,"UPN ""VETERAN"" YOGYAKARTA",3631047,TEKNIK LINGKUNGAN,616.4,10.18,601.81,647.96
325,INSTITUT PERTANIAN BOGOR,3411087,ILMU DAN TEKNOLOGI KELAUTAN,621.38,12.73,601.8,647.83
326,UNIVERSITAS PADJADJARAN,3331214,TEKNOLOGI INDUSTRI PERTANIAN,619.66,12.56,601.72,641.9
327,UNIVERSITAS NEGERI YOGYAKARTA,3621022,PENDIDIKAN FISIKA,625.08,19.25,601.48,677.22
328,UNIVERSITAS NEGERI YOGYAKARTA,3621134,BIOLOGI,617.05,9.68,601.48,645.41
329,"UPN ""VETERAN"" JAWA TIMUR",3851031,TEKNIK KIMIA,613.83,12.16,601.2,657.49
330,UNIVERSITAS NEGERI JAKARTA,3231012,PENDIDIKAN MATEMATIKA,628.94,26.68,601.08,696.1
331,UNIVERSITAS NEGERI MALANG,3731017,PENDIDIKAN MATEMATIKA,625.57,20.7,601.04,686.46
332,INSTITUT PERTANIAN BOGOR,3411377,MANAJEMEN SUMBERDAYA LAHAN,615.13,12.9,600.72,654.38
333,"UPN ""VETERAN"" YOGYAKARTA",3631032,TEKNIK PERMINYAKAN,621.13,17.25,600.2,673.03
334,UNIVERSITAS NEGERI SEMARANG,3561014,PENDIDIKAN MATEMATIKA,617.21,16.93,600.14,670
335,UNIVERSITAS LAMBUNG MANGKURAT,5311384,KEDOKTERAN GIGI,617.18,14.18,600.08,669.08
336,UNIVERSITAS JENDERAL SOEDIRMAN,3511115,KESEHATAN MASYARAKAT,616.47,13.5,599.99,649.7
337,UNIVERSITAS PENDIDIKAN INDONESIA,3341077,FISIKA,617.38,13.02,599.94,644.42
338,UNIVERSITAS GADJAH MADA,3611325,ILMU DAN INDUSTRI PETERNAKAN,618.93,14.86,599.64,677.14
